X,Y,Z,rX,rY,rZ,id
-0.549818,0.877791,-3.27838,0.767012,0.0127962,0.96249,212
-0.555823,0.893444,-3.3036,0.841043,0.0118787,1.04565,213
-0.569711,0.901537,-3.31742,0.882174,0.01137,1.09004,214
-0.587841,0.901582,-3.3193,0.901376,0.011291,1.10926,215
-0.6094,0.900839,-3.32148,0.924976,0.0112595,1.13421,216
-0.625743,0.903301,-3.333,0.965396,0.0109568,1.17647,217
-0.643973,0.90607,-3.34344,1.009,0.0106646,1.22294,218
-0.663717,0.907236,-3.35575,1.04893,0.0103109,1.26354,219
-0.684204,0.907986,-3.36334,1.0754,0.0100921,1.2905,220
-0.704392,0.90742,-3.36779,1.09523,0.0099662,1.31014,221
-0.726252,0.906148,-3.37205,1.12056,0.00985047,1.33451,222
-0.749903,0.906122,-3.37438,1.15187,0.00979368,1.3661,223
-0.771968,0.907977,-3.38001,1.19672,0.00966354,1.41111,224
-0.791513,0.913504,-3.39228,1.23932,0.0093708,1.45272,225
-0.812322,0.916294,-3.39701,1.26201,0.0092312,1.47405,226
-0.830066,0.920614,-3.4004,1.28321,0.00911432,1.49385,227
-0.845769,0.923372,-3.40367,1.29981,0.00903112,1.5084,228
-0.869791,0.92001,-3.39734,1.31764,0.00919944,1.52416,229
-0.889496,0.925703,-3.40371,1.35935,0.00909398,1.56681,230
-0.902206,0.93119,-3.41129,1.38906,0.00894124,1.59614,231
-0.920196,0.936767,-3.41305,1.40308,0.008894,1.61141,232
-0.93626,0.940153,-3.41531,1.41603,0.00883832,1.62467,233
-0.957819,0.941211,-3.42005,1.42675,0.00874244,1.6357,234
-0.983086,0.93881,-3.41885,1.43347,0.00877591,1.64236,235
-1.00657,0.939534,-3.42228,1.4568,0.00871194,1.66617,236
-1.03148,0.937388,-3.42516,1.4747,0.00865537,1.68336,237
-1.05681,0.934046,-3.42689,1.49433,0.00862594,1.70225,238
-1.08632,0.941836,-3.42968,1.51548,0.00858263,1.72265,239
-1.10785,0.933599,-3.42948,1.53942,0.00859423,1.73586,240
-1.13523,0.934892,-3.43377,1.57422,0.00851647,1.76794,241
-1.15667,0.948254,-3.4331,1.60507,0.00852035,1.78963,242
-1.16584,0.939001,-3.43501,1.63385,0.00847681,1.80516,243
-1.18718,0.939167,-3.43561,1.6648,0.00845648,1.83385,244
-1.21091,0.938215,-3.42782,1.68938,0.00858922,1.85771,245
-1.23296,0.935958,-3.41983,1.74521,0.00873099,1.91417,246
-1.25722,0.942577,-3.42458,1.82057,0.00861015,1.99449,247
-1.28623,0.946143,-3.4308,1.85851,0.00844637,2.03451,248
-1.30142,0.948352,-3.42918,1.87183,0.00845188,2.04852,249
-1.3206,0.948713,-3.42276,1.89011,0.0085745,2.06815,250
-1.34376,0.946992,-3.42117,1.92257,0.00860274,2.10164,251
